Ad Title,Brand,Platform,Date of Release,View Count,Celebrity Featured,Ad Copy / Script,Ad Link,Source
Volkswagen Werbespot 1972,Volkswagen,YouTube,2020-05-26,7289795,Lena Meyer-Landrut,Dein Style. Deine Regeln. Adidas Originals.,http://www.knappe.com/,YouTube Leaderboard
McDonald's Werbespot 1972,McDonald's,YouTube,2024-12-30,3556989,,Mach es zu deinem Projekt – mit Hornbach.,https://www.hering.de/,Deutscher Mediapreis
Nike Werbespot 1988,Nike,YouTube,2020-12-15,4713878,Helene Fischer,McDonald's – Ich liebe es.,https://www.stey.com/,YouTube Leaderboard
Volkswagen Werbespot 1982,Volkswagen,Instagram,2022-03-12,3485536,Manuel Neuer,Mach es zu deinem Projekt – mit Hornbach.,http://mosemann.org/,Meta Ads Library
Telekom Werbespot 1992,Telekom,YouTube,2021-01-11,2735462,Joko Winterscheidt,Mach es zu deinem Projekt – mit Hornbach.,https://www.gute.org/,Meta Ads Library
Hornbach Werbespot 2020,Hornbach,TV,2022-05-11,5575503,,"Telekom – Erleben, was verbindet.",https://oderwald.net/,Meta Ads Library
Lidl Werbespot 2019,Lidl,TikTok,2024-12-11,910876,Palina Rojinski,Jetzt bei Lidl: Qualität zum besten Preis!,http://www.langern.net/,Deutscher Mediapreis
Mercedes-Benz Werbespot 2006,Mercedes-Benz,YouTube,2023-03-30,6665572,Palina Rojinski,Dein Style. Deine Regeln. Adidas Originals.,http://wiek.de/,YouTube Leaderboard
Nike Werbespot 2020,Nike,TV,2022-11-29,3837527,Lena Meyer-Landrut,Dein Style. Deine Regeln. Adidas Originals.,http://www.hellwig.de/,Deutscher Mediapreis
Telekom Werbespot 2003,Telekom,Facebook,2020-10-21,6386562,Florian David Fitz,Jetzt bei Lidl: Qualität zum besten Preis!,http://beyer.de/,W&V
Mercedes-Benz Werbespot 2017,Mercedes-Benz,YouTube,2023-06-19,4505824,Helene Fischer,Fahr in die Zukunft mit dem neuen ID.4 von Volkswagen.,https://www.dehmel.com/,Deutscher Mediapreis
Volkswagen Werbespot 2013,Volkswagen,TV,2023-08-26,6061545,Palina Rojinski,Jetzt bei Lidl: Qualität zum besten Preis!,http://www.stadelmann.org/,YouTube Leaderboard
Edeka Werbespot 1987,Edeka,Instagram,2022-12-22,6048413,Lena Meyer-Landrut,Mach dich bereit – mit der neuen Nike Performance-Kollektion.,https://metz.com/,YouTube Leaderboard
Volkswagen Werbespot 1983,Volkswagen,YouTube,2021-06-14,7240636,Elyas M'Barek,Saturn macht Technik zum Erlebnis!,http://www.gehringer.de/,Deutscher Mediapreis
Lidl Werbespot 1991,Lidl,YouTube,2023-10-02,5947696,Helene Fischer,McDonald's – Ich liebe es.,http://metz.de/,YouTube Leaderboard
Hornbach Werbespot 1988,Hornbach,TikTok,2021-04-25,6473219,Palina Rojinski,"Entdecke die Vielfalt mit Edeka – frisch, regional, genial.",http://www.jaehn.com/,W&V
Telekom Werbespot 1984,Telekom,TV,2023-01-31,9397465,Helene Fischer,Erlebe Luxus auf vier Rädern – Mercedes-Benz.,http://www.hering.de/,Meta Ads Library
Telekom Werbespot 1996,Telekom,Facebook,2024-08-30,4521711,Elyas M'Barek,Mach dich bereit – mit der neuen Nike Performance-Kollektion.,http://gertz.de/,W&V
Saturn Werbespot 2007,Saturn,Facebook,2024-12-22,2815274,Helene Fischer,"Telekom – Erleben, was verbindet.",http://www.dobes.com/,W&V
Telekom Werbespot 1974,Telekom,Instagram,2022-03-09,1300526,Lena Meyer-Landrut,Dein Style. Deine Regeln. Adidas Originals.,http://www.koehler.com/,W&V
Mercedes-Benz Werbespot 2009,Mercedes-Benz,TV,2025-04-13,3290754,Florian David Fitz,Saturn macht Technik zum Erlebnis!,https://www.bolzmann.de/,YouTube Leaderboard
Volkswagen Werbespot 2025,Volkswagen,Instagram,2021-05-23,6648609,Manuel Neuer,Dein Style. Deine Regeln. Adidas Originals.,http://berger.com/,Deutscher Mediapreis
Adidas Werbespot 1981,Adidas,TV,2025-03-05,7234541,Palina Rojinski,Mach es zu deinem Projekt – mit Hornbach.,https://becker.de/,Meta Ads Library
Nike Werbespot 1981,Nike,Instagram,2023-04-22,3379728,Florian David Fitz,Saturn macht Technik zum Erlebnis!,http://www.holt.com/,W&V
Volkswagen Werbespot 2011,Volkswagen,TV,2022-05-21,4899688,Palina Rojinski,Saturn macht Technik zum Erlebnis!,https://rohleder.com/,Meta Ads Library
Adidas Werbespot 1989,Adidas,TV,2023-07-21,6602357,Joko Winterscheidt,Dein Style. Deine Regeln. Adidas Originals.,http://seidel.net/,YouTube Leaderboard
Hornbach Werbespot 2012,Hornbach,Facebook,2024-12-02,9164137,Florian David Fitz,Fahr in die Zukunft mit dem neuen ID.4 von Volkswagen.,http://klemt.de/,YouTube Leaderboard
Saturn Werbespot 2007,Saturn,Facebook,2024-06-01,4897726,Lena Meyer-Landrut,Jetzt bei Lidl: Qualität zum besten Preis!,https://hiller.de/,Deutscher Mediapreis
Saturn Werbespot 2010,Saturn,Facebook,2022-02-27,4070441,Joko Winterscheidt,Mach dich bereit – mit der neuen Nike Performance-Kollektion.,http://muehle.de/,Meta Ads Library
Telekom Werbespot 2022,Telekom,TV,2025-04-06,7544089,Helene Fischer,Mach es zu deinem Projekt – mit Hornbach.,http://www.hentschel.net/,Deutscher Mediapreis
Hornbach Werbespot 1988,Hornbach,TV,2024-11-01,8509549,,"Telekom – Erleben, was verbindet.",http://www.krebs.de/,YouTube Leaderboard
Adidas Werbespot 1981,Adidas,TikTok,2021-10-17,1435760,Florian David Fitz,Jetzt bei Lidl: Qualität zum besten Preis!,http://tintzmann.de/,Meta Ads Library
Adidas Werbespot 2010,Adidas,Facebook,2020-07-14,753175,Florian David Fitz,Mach es zu deinem Projekt – mit Hornbach.,https://www.graf.de/,Deutscher Mediapreis
Adidas Werbespot 2006,Adidas,TV,2022-12-04,186962,Helene Fischer,Jetzt bei Lidl: Qualität zum besten Preis!,http://conradi.net/,W&V
Mercedes-Benz Werbespot 2010,Mercedes-Benz,TikTok,2022-02-26,9371576,,Mach es zu deinem Projekt – mit Hornbach.,http://kabus.net/,Meta Ads Library
Saturn Werbespot 2024,Saturn,Instagram,2021-05-28,7778911,,Mach es zu deinem Projekt – mit Hornbach.,https://www.bonbach.com/,Meta Ads Library
Adidas Werbespot 2022,Adidas,YouTube,2021-03-28,1764047,Lena Meyer-Landrut,Mach dich bereit – mit der neuen Nike Performance-Kollektion.,https://www.trommler.com/,Deutscher Mediapreis
Lidl Werbespot 1992,Lidl,YouTube,2022-11-11,5853985,Elyas M'Barek,Mach dich bereit – mit der neuen Nike Performance-Kollektion.,https://www.waehner.de/,W&V
Saturn Werbespot 2014,Saturn,Facebook,2022-12-29,8112153,,Dein Style. Deine Regeln. Adidas Originals.,http://stahr.com/,Deutscher Mediapreis
Lidl Werbespot 1995,Lidl,TV,2022-11-27,5360413,Lena Meyer-Landrut,Jetzt bei Lidl: Qualität zum besten Preis!,https://www.wagner.de/,W&V
Edeka Werbespot 2022,Edeka,YouTube,2025-02-14,5765892,Manuel Neuer,Jetzt bei Lidl: Qualität zum besten Preis!,http://www.junck.net/,Meta Ads Library
Mercedes-Benz Werbespot 2013,Mercedes-Benz,TikTok,2025-02-08,9269518,Elyas M'Barek,Fahr in die Zukunft mit dem neuen ID.4 von Volkswagen.,http://kabus.com/,W&V
McDonald's Werbespot 1986,McDonald's,TV,2023-03-31,3899890,Lena Meyer-Landrut,"Telekom – Erleben, was verbindet.",https://www.cichorius.de/,Meta Ads Library
Volkswagen Werbespot 2000,Volkswagen,TV,2020-05-23,499765,,Mach es zu deinem Projekt – mit Hornbach.,https://www.textor.de/,Meta Ads Library
Saturn Werbespot 1987,Saturn,TikTok,2021-03-19,6533581,,"Entdecke die Vielfalt mit Edeka – frisch, regional, genial.",http://www.mans.com/,Meta Ads Library
Mercedes-Benz Werbespot 1998,Mercedes-Benz,Instagram,2024-06-27,9696290,Helene Fischer,Jetzt bei Lidl: Qualität zum besten Preis!,https://kohl.com/,Meta Ads Library
Adidas Werbespot 2002,Adidas,Instagram,2025-03-18,7686422,,Jetzt bei Lidl: Qualität zum besten Preis!,http://www.briemer.com/,W&V
Saturn Werbespot 1991,Saturn,TikTok,2022-07-08,6530284,Palina Rojinski,Mach es zu deinem Projekt – mit Hornbach.,http://www.geissler.com/,Deutscher Mediapreis
Hornbach Werbespot 2007,Hornbach,YouTube,2021-02-01,5915327,Palina Rojinski,Saturn macht Technik zum Erlebnis!,https://becker.de/,Meta Ads Library
Nike Werbespot 2014,Nike,TikTok,2021-09-12,1431902,Florian David Fitz,Fahr in die Zukunft mit dem neuen ID.4 von Volkswagen.,https://www.ditschlerin.net/,W&V
Lidl Werbespot 1982,Lidl,Facebook,2023-10-11,1972077,Joko Winterscheidt,Fahr in die Zukunft mit dem neuen ID.4 von Volkswagen.,https://hellwig.de/,W&V
Volkswagen Werbespot 2008,Volkswagen,TikTok,2024-12-20,7026887,,Mach es zu deinem Projekt – mit Hornbach.,https://www.klingelhoefer.de/,Meta Ads Library
Hornbach Werbespot 1975,Hornbach,TV,2022-10-20,3126429,,Saturn macht Technik zum Erlebnis!,https://www.bauer.com/,Meta Ads Library
McDonald's Werbespot 2013,McDonald's,Facebook,2022-10-11,4855843,Lena Meyer-Landrut,Fahr in die Zukunft mit dem neuen ID.4 von Volkswagen.,http://jaentsch.de/,Meta Ads Library
Adidas Werbespot 2002,Adidas,TV,2024-06-15,909447,Florian David Fitz,Dein Style. Deine Regeln. Adidas Originals.,https://www.ritter.de/,YouTube Leaderboard
Saturn Werbespot 1982,Saturn,Facebook,2023-06-14,6451514,,McDonald's – Ich liebe es.,https://meister.org/,Deutscher Mediapreis
Telekom Werbespot 1999,Telekom,TV,2024-04-01,7456596,,Saturn macht Technik zum Erlebnis!,https://www.rosemann.com/,Meta Ads Library
Lidl Werbespot 1975,Lidl,TikTok,2023-03-22,3709871,Manuel Neuer,Mach dich bereit – mit der neuen Nike Performance-Kollektion.,https://www.bolander.de/,YouTube Leaderboard
Nike Werbespot 2005,Nike,Facebook,2023-11-09,4853084,,Fahr in die Zukunft mit dem neuen ID.4 von Volkswagen.,https://www.jacob.com/,Deutscher Mediapreis
Hornbach Werbespot 2004,Hornbach,TV,2025-02-25,8579902,,Jetzt bei Lidl: Qualität zum besten Preis!,http://www.gerlach.net/,YouTube Leaderboard
Nike Werbespot 1978,Nike,TikTok,2020-08-28,9103978,Palina Rojinski,"Entdecke die Vielfalt mit Edeka – frisch, regional, genial.",https://www.maelzer.net/,Deutscher Mediapreis
McDonald's Werbespot 2012,McDonald's,Facebook,2021-07-21,1728262,,Erlebe Luxus auf vier Rädern – Mercedes-Benz.,https://boerner.com/,W&V
Edeka Werbespot 1996,Edeka,TV,2025-01-10,5858151,Joko Winterscheidt,Jetzt bei Lidl: Qualität zum besten Preis!,https://preiss.de/,Deutscher Mediapreis
Lidl Werbespot 1977,Lidl,Facebook,2023-10-27,9873726,,Dein Style. Deine Regeln. Adidas Originals.,http://www.schaefer.com/,Deutscher Mediapreis
Volkswagen Werbespot 1977,Volkswagen,TikTok,2025-01-30,3476502,Elyas M'Barek,Erlebe Luxus auf vier Rädern – Mercedes-Benz.,http://kaul.de/,YouTube Leaderboard
Hornbach Werbespot 1987,Hornbach,Instagram,2023-07-22,4725824,,Mach es zu deinem Projekt – mit Hornbach.,https://gerlach.de/,Meta Ads Library
Adidas Werbespot 1979,Adidas,Instagram,2023-09-18,9618908,Joko Winterscheidt,Mach dich bereit – mit der neuen Nike Performance-Kollektion.,http://taesche.de/,YouTube Leaderboard
Volkswagen Werbespot 1988,Volkswagen,TV,2023-06-19,4662716,Manuel Neuer,Fahr in die Zukunft mit dem neuen ID.4 von Volkswagen.,http://jockel.com/,Meta Ads Library
Mercedes-Benz Werbespot 1985,Mercedes-Benz,Facebook,2021-06-09,4163279,Palina Rojinski,"Telekom – Erleben, was verbindet.",https://heuser.com/,Deutscher Mediapreis
Volkswagen Werbespot 1982,Volkswagen,TikTok,2024-01-20,6959543,Joko Winterscheidt,"Telekom – Erleben, was verbindet.",http://neuschaefer.de/,Deutscher Mediapreis
Lidl Werbespot 1973,Lidl,YouTube,2024-09-04,8660558,,Mach dich bereit – mit der neuen Nike Performance-Kollektion.,http://www.trueb.com/,W&V
Saturn Werbespot 2023,Saturn,TV,2024-10-02,9773593,Palina Rojinski,"Entdecke die Vielfalt mit Edeka – frisch, regional, genial.",http://www.gute.net/,YouTube Leaderboard
Saturn Werbespot 1972,Saturn,Instagram,2024-03-06,8976154,Helene Fischer,"Telekom – Erleben, was verbindet.",http://gumprich.org/,Meta Ads Library
Telekom Werbespot 1995,Telekom,Facebook,2024-03-30,4515300,Lena Meyer-Landrut,Dein Style. Deine Regeln. Adidas Originals.,https://www.becker.net/,W&V
Adidas Werbespot 1995,Adidas,TikTok,2024-06-14,2201007,Florian David Fitz,Mach es zu deinem Projekt – mit Hornbach.,https://www.schacht.de/,Deutscher Mediapreis
Adidas Werbespot 1981,Adidas,YouTube,2022-06-30,1680586,Manuel Neuer,Saturn macht Technik zum Erlebnis!,http://kraushaar.com/,YouTube Leaderboard
Lidl Werbespot 2008,Lidl,Facebook,2022-02-12,7669103,Lena Meyer-Landrut,"Entdecke die Vielfalt mit Edeka – frisch, regional, genial.",http://www.haering.org/,Deutscher Mediapreis
Mercedes-Benz Werbespot 2014,Mercedes-Benz,Facebook,2023-10-12,2677199,Joko Winterscheidt,Mach dich bereit – mit der neuen Nike Performance-Kollektion.,http://www.eigenwillig.com/,YouTube Leaderboard
Adidas Werbespot 1985,Adidas,Instagram,2022-06-11,6248503,Helene Fischer,Fahr in die Zukunft mit dem neuen ID.4 von Volkswagen.,https://kohl.org/,YouTube Leaderboard
Telekom Werbespot 1984,Telekom,Instagram,2024-04-06,7211300,,Jetzt bei Lidl: Qualität zum besten Preis!,https://dobes.com/,YouTube Leaderboard
Edeka Werbespot 2004,Edeka,Facebook,2023-06-24,1317594,Lena Meyer-Landrut,Fahr in die Zukunft mit dem neuen ID.4 von Volkswagen.,https://doerr.de/,Meta Ads Library
McDonald's Werbespot 1974,McDonald's,TV,2023-02-26,145267,Manuel Neuer,Dein Style. Deine Regeln. Adidas Originals.,https://hess.org/,YouTube Leaderboard
Telekom Werbespot 1982,Telekom,Facebook,2021-07-27,1198301,Lena Meyer-Landrut,Erlebe Luxus auf vier Rädern – Mercedes-Benz.,http://www.lachmann.de/,Deutscher Mediapreis
Lidl Werbespot 2016,Lidl,YouTube,2021-06-26,5267165,Helene Fischer,Dein Style. Deine Regeln. Adidas Originals.,http://heser.de/,W&V
Volkswagen Werbespot 2020,Volkswagen,TV,2020-08-05,2406676,Elyas M'Barek,Jetzt bei Lidl: Qualität zum besten Preis!,http://trupp.net/,YouTube Leaderboard
Hornbach Werbespot 2016,Hornbach,Facebook,2024-11-04,5901952,Lena Meyer-Landrut,Erlebe Luxus auf vier Rädern – Mercedes-Benz.,https://jacob.com/,Meta Ads Library
Telekom Werbespot 2014,Telekom,TikTok,2025-01-16,3654760,Lena Meyer-Landrut,Jetzt bei Lidl: Qualität zum besten Preis!,http://muehle.org/,YouTube Leaderboard
Volkswagen Werbespot 2019,Volkswagen,YouTube,2025-01-18,6452986,Florian David Fitz,Dein Style. Deine Regeln. Adidas Originals.,http://cichorius.net/,Deutscher Mediapreis
Adidas Werbespot 1994,Adidas,Facebook,2022-03-12,4656746,,Jetzt bei Lidl: Qualität zum besten Preis!,https://koehler.org/,Meta Ads Library
McDonald's Werbespot 2001,McDonald's,TikTok,2021-04-18,4790177,Florian David Fitz,"Entdecke die Vielfalt mit Edeka – frisch, regional, genial.",https://www.sauer.com/,W&V
Mercedes-Benz Werbespot 2002,Mercedes-Benz,TikTok,2021-12-13,8558370,Florian David Fitz,Erlebe Luxus auf vier Rädern – Mercedes-Benz.,http://huhn.de/,Deutscher Mediapreis
Nike Werbespot 1973,Nike,YouTube,2021-07-30,8312838,,"Telekom – Erleben, was verbindet.",http://www.langern.com/,YouTube Leaderboard
Mercedes-Benz Werbespot 1991,Mercedes-Benz,TV,2021-10-30,1201383,Florian David Fitz,McDonald's – Ich liebe es.,http://schulz.com/,YouTube Leaderboard
Adidas Werbespot 1970,Adidas,Instagram,2024-02-21,6500068,Elyas M'Barek,Mach es zu deinem Projekt – mit Hornbach.,https://www.sager.com/,Deutscher Mediapreis
Adidas Werbespot 2003,Adidas,TikTok,2021-01-16,7912314,Elyas M'Barek,Jetzt bei Lidl: Qualität zum besten Preis!,http://losekann.de/,YouTube Leaderboard
Hornbach Werbespot 1999,Hornbach,YouTube,2024-05-10,4408739,Manuel Neuer,Erlebe Luxus auf vier Rädern – Mercedes-Benz.,https://www.reising.de/,YouTube Leaderboard
Edeka Werbespot 1970,Edeka,TV,2023-01-14,4816467,,McDonald's – Ich liebe es.,http://www.adolph.net/,Deutscher Mediapreis
Telekom Werbespot 1985,Telekom,TV,2023-03-23,9012063,Helene Fischer,McDonald's – Ich liebe es.,https://www.krause.org/,Meta Ads Library
Nike Werbespot 1981,Nike,YouTube,2020-11-06,1335761,Joko Winterscheidt,McDonald's – Ich liebe es.,http://mielcarek.de/,Meta Ads Library
Volkswagen Werbespot 1999,Volkswagen,TikTok,2021-06-07,6565386,Palina Rojinski,Mach es zu deinem Projekt – mit Hornbach.,https://wende.de/,YouTube Leaderboard
Nike Werbespot 1971,Nike,TV,2022-03-28,981500,,Erlebe Luxus auf vier Rädern – Mercedes-Benz.,http://www.walter.com/,YouTube Leaderboard
Telekom Werbespot 1978,Telekom,YouTube,2023-05-31,933227,Lena Meyer-Landrut,Mach dich bereit – mit der neuen Nike Performance-Kollektion.,http://hermighausen.com/,Meta Ads Library
Lidl Werbespot 2010,Lidl,YouTube,2020-09-14,200431,Elyas M'Barek,Fahr in die Zukunft mit dem neuen ID.4 von Volkswagen.,http://www.taesche.de/,Deutscher Mediapreis
Adidas Werbespot 2000,Adidas,TikTok,2023-07-13,4359442,,Fahr in die Zukunft mit dem neuen ID.4 von Volkswagen.,http://trapp.com/,W&V
Volkswagen Werbespot 1990,Volkswagen,Instagram,2023-11-16,502516,Helene Fischer,Dein Style. Deine Regeln. Adidas Originals.,http://schlosser.com/,Deutscher Mediapreis
Nike Werbespot 1998,Nike,TikTok,2021-03-09,4421563,Helene Fischer,Mach es zu deinem Projekt – mit Hornbach.,http://zirme.de/,YouTube Leaderboard
Saturn Werbespot 1983,Saturn,TV,2021-12-29,6051876,,"Entdecke die Vielfalt mit Edeka – frisch, regional, genial.",https://www.trommler.com/,Deutscher Mediapreis
Hornbach Werbespot 1972,Hornbach,Facebook,2024-12-16,2649223,Palina Rojinski,Mach dich bereit – mit der neuen Nike Performance-Kollektion.,https://www.nette.de/,YouTube Leaderboard
Hornbach Werbespot 1985,Hornbach,YouTube,2020-04-26,8546665,,"Entdecke die Vielfalt mit Edeka – frisch, regional, genial.",http://www.ruppert.de/,YouTube Leaderboard
Edeka Werbespot 1980,Edeka,Facebook,2021-01-22,7924896,Manuel Neuer,Dein Style. Deine Regeln. Adidas Originals.,http://www.seidel.org/,Deutscher Mediapreis
Volkswagen Werbespot 1987,Volkswagen,Facebook,2024-03-30,9285531,Manuel Neuer,"Telekom – Erleben, was verbindet.",http://www.benthin.de/,Meta Ads Library
Adidas Werbespot 2024,Adidas,Facebook,2022-12-15,5377620,,Mach dich bereit – mit der neuen Nike Performance-Kollektion.,https://www.wiek.com/,YouTube Leaderboard
Hornbach Werbespot 1979,Hornbach,Instagram,2021-09-29,8432849,Helene Fischer,"Entdecke die Vielfalt mit Edeka – frisch, regional, genial.",https://scholz.com/,Meta Ads Library
Mercedes-Benz Werbespot 1995,Mercedes-Benz,TikTok,2023-03-18,6736402,Manuel Neuer,Jetzt bei Lidl: Qualität zum besten Preis!,http://www.kuehnert.de/,Deutscher Mediapreis
Nike Werbespot 2016,Nike,Instagram,2024-05-12,1459308,Palina Rojinski,McDonald's – Ich liebe es.,https://www.eigenwillig.com/,Deutscher Mediapreis
Edeka Werbespot 1980,Edeka,Instagram,2021-03-06,4902153,,Mach es zu deinem Projekt – mit Hornbach.,https://stoll.de/,W&V
Hornbach Werbespot 1982,Hornbach,Facebook,2023-07-11,6188606,Lena Meyer-Landrut,Mach es zu deinem Projekt – mit Hornbach.,https://www.wagenknecht.com/,Deutscher Mediapreis
Mercedes-Benz Werbespot 2002,Mercedes-Benz,TikTok,2024-06-12,2536084,,"Entdecke die Vielfalt mit Edeka – frisch, regional, genial.",http://bien.de/,Deutscher Mediapreis
Edeka Werbespot 1970,Edeka,Facebook,2024-10-04,5822025,,"Entdecke die Vielfalt mit Edeka – frisch, regional, genial.",http://pruschke.com/,W&V
Edeka Werbespot 1999,Edeka,TV,2022-05-30,1753975,Joko Winterscheidt,Erlebe Luxus auf vier Rädern – Mercedes-Benz.,https://stiffel.de/,Meta Ads Library
Telekom Werbespot 1980,Telekom,TV,2025-01-16,2398630,Manuel Neuer,Mach dich bereit – mit der neuen Nike Performance-Kollektion.,http://www.franke.de/,YouTube Leaderboard
Edeka Werbespot 2003,Edeka,Facebook,2021-09-13,6939943,,Dein Style. Deine Regeln. Adidas Originals.,http://hendriks.com/,Deutscher Mediapreis
Lidl Werbespot 2004,Lidl,TikTok,2022-03-10,8489670,Helene Fischer,Fahr in die Zukunft mit dem neuen ID.4 von Volkswagen.,https://budig.de/,Deutscher Mediapreis
Lidl Werbespot 2024,Lidl,TikTok,2025-03-03,1054933,Florian David Fitz,"Telekom – Erleben, was verbindet.",https://www.meister.de/,Meta Ads Library
Mercedes-Benz Werbespot 2020,Mercedes-Benz,Instagram,2020-06-12,5294972,Joko Winterscheidt,"Telekom – Erleben, was verbindet.",http://beier.com/,W&V
Adidas Werbespot 1976,Adidas,TV,2022-11-20,3929346,Joko Winterscheidt,Jetzt bei Lidl: Qualität zum besten Preis!,http://knappe.de/,Meta Ads Library
Volkswagen Werbespot 1992,Volkswagen,TikTok,2025-01-22,2617356,Helene Fischer,Jetzt bei Lidl: Qualität zum besten Preis!,https://metz.com/,Meta Ads Library
Saturn Werbespot 1976,Saturn,TV,2022-03-07,6830148,Palina Rojinski,Jetzt bei Lidl: Qualität zum besten Preis!,http://schuster.de/,W&V
Mercedes-Benz Werbespot 2017,Mercedes-Benz,TV,2021-03-14,7783665,Joko Winterscheidt,Mach dich bereit – mit der neuen Nike Performance-Kollektion.,http://www.etzold.de/,YouTube Leaderboard
Lidl Werbespot 1977,Lidl,Facebook,2022-06-17,686621,Joko Winterscheidt,Erlebe Luxus auf vier Rädern – Mercedes-Benz.,http://www.kroker.de/,W&V
Volkswagen Werbespot 2023,Volkswagen,YouTube,2021-12-01,5978373,,"Telekom – Erleben, was verbindet.",https://www.bien.com/,YouTube Leaderboard
Nike Werbespot 2022,Nike,Instagram,2024-02-16,531470,Elyas M'Barek,"Telekom – Erleben, was verbindet.",https://www.adolph.com/,Deutscher Mediapreis
McDonald's Werbespot 2007,McDonald's,TikTok,2023-12-23,1599226,,Saturn macht Technik zum Erlebnis!,https://www.salz.com/,YouTube Leaderboard
Volkswagen Werbespot 2019,Volkswagen,YouTube,2021-05-21,1044637,Manuel Neuer,Erlebe Luxus auf vier Rädern – Mercedes-Benz.,http://schleich.de/,Meta Ads Library
Mercedes-Benz Werbespot 2004,Mercedes-Benz,TV,2023-07-27,1419947,Palina Rojinski,Mach es zu deinem Projekt – mit Hornbach.,https://www.kuhl.de/,W&V
Lidl Werbespot 2024,Lidl,YouTube,2021-06-06,3327700,Helene Fischer,Saturn macht Technik zum Erlebnis!,http://tlustek.org/,Meta Ads Library
Lidl Werbespot 2017,Lidl,Instagram,2024-12-14,726325,Helene Fischer,Saturn macht Technik zum Erlebnis!,https://www.haering.org/,YouTube Leaderboard
Volkswagen Werbespot 2016,Volkswagen,TikTok,2023-03-26,6636978,,Saturn macht Technik zum Erlebnis!,http://www.ring.de/,YouTube Leaderboard
Telekom Werbespot 2018,Telekom,TV,2021-04-11,5948182,Elyas M'Barek,Erlebe Luxus auf vier Rädern – Mercedes-Benz.,https://ruppersberger.de/,Meta Ads Library
Nike Werbespot 2015,Nike,Instagram,2024-11-01,2503621,Lena Meyer-Landrut,"Entdecke die Vielfalt mit Edeka – frisch, regional, genial.",https://pruschke.com/,Meta Ads Library
Nike Werbespot 1995,Nike,TV,2021-07-13,9249022,,Saturn macht Technik zum Erlebnis!,http://www.hethur.com/,YouTube Leaderboard
Lidl Werbespot 1989,Lidl,Instagram,2022-06-05,2312438,,"Telekom – Erleben, was verbindet.",http://www.zirme.org/,Meta Ads Library
McDonald's Werbespot 1983,McDonald's,Facebook,2024-11-24,337658,,"Telekom – Erleben, was verbindet.",http://dobes.net/,W&V
Saturn Werbespot 2020,Saturn,TikTok,2025-01-25,5781934,Lena Meyer-Landrut,Mach es zu deinem Projekt – mit Hornbach.,https://www.zirme.org/,W&V
Telekom Werbespot 2017,Telekom,Instagram,2020-09-10,447264,Elyas M'Barek,Dein Style. Deine Regeln. Adidas Originals.,https://zorbach.com/,Meta Ads Library
Edeka Werbespot 1970,Edeka,Instagram,2022-06-07,7923550,Manuel Neuer,McDonald's – Ich liebe es.,http://schuster.de/,W&V
Hornbach Werbespot 2021,Hornbach,Facebook,2024-12-11,1689975,Elyas M'Barek,Erlebe Luxus auf vier Rädern – Mercedes-Benz.,http://www.mende.com/,Meta Ads Library
Nike Werbespot 1982,Nike,TikTok,2021-10-09,3691115,Manuel Neuer,Mach es zu deinem Projekt – mit Hornbach.,http://losekann.org/,Deutscher Mediapreis
Adidas Werbespot 1978,Adidas,Facebook,2021-08-30,3978669,Elyas M'Barek,Mach es zu deinem Projekt – mit Hornbach.,https://www.mosemann.com/,W&V
Adidas Werbespot 1980,Adidas,TikTok,2023-01-15,5910247,Manuel Neuer,Mach es zu deinem Projekt – mit Hornbach.,http://ruppert.com/,Meta Ads Library
Hornbach Werbespot 2023,Hornbach,Facebook,2022-12-31,9105341,Lena Meyer-Landrut,Mach dich bereit – mit der neuen Nike Performance-Kollektion.,http://www.boerner.com/,Meta Ads Library
Saturn Werbespot 1998,Saturn,YouTube,2024-11-30,952342,Helene Fischer,Erlebe Luxus auf vier Rädern – Mercedes-Benz.,https://www.hartung.de/,Meta Ads Library
Edeka Werbespot 1992,Edeka,TikTok,2023-05-13,21467,Lena Meyer-Landrut,Dein Style. Deine Regeln. Adidas Originals.,https://www.reichmann.de/,Meta Ads Library
Volkswagen Werbespot 2008,Volkswagen,Instagram,2020-05-15,5438919,Elyas M'Barek,"Entdecke die Vielfalt mit Edeka – frisch, regional, genial.",http://hendriks.net/,YouTube Leaderboard
Volkswagen Werbespot 1972,Volkswagen,TikTok,2023-01-10,1870938,Elyas M'Barek,McDonald's – Ich liebe es.,https://www.hertrampf.org/,W&V
Lidl Werbespot 1971,Lidl,Instagram,2024-09-09,9841728,,Jetzt bei Lidl: Qualität zum besten Preis!,https://beyer.net/,W&V
Nike Werbespot 1991,Nike,Instagram,2024-08-31,2652476,Elyas M'Barek,"Telekom – Erleben, was verbindet.",http://www.wulf.com/,Deutscher Mediapreis
Adidas Werbespot 2012,Adidas,Facebook,2020-11-07,5996539,,Erlebe Luxus auf vier Rädern – Mercedes-Benz.,http://www.loos.com/,Meta Ads Library
Telekom Werbespot 1983,Telekom,Instagram,2024-11-13,2146551,Joko Winterscheidt,Fahr in die Zukunft mit dem neuen ID.4 von Volkswagen.,https://www.stumpf.com/,YouTube Leaderboard
Hornbach Werbespot 1971,Hornbach,TV,2024-03-14,553292,Florian David Fitz,Fahr in die Zukunft mit dem neuen ID.4 von Volkswagen.,https://www.briemer.com/,W&V
